neuron,smp-2,nrx-1,plx-1,unc-6,unc-129,syg-1,efn-3,cdh-3,cdh-4,syg-2,mig-1,vab-2,nlg-1,rig-3,cfz-2,syd-2,efn-4,slt-1,sax-3,mom-5,egl-20,sax-7,smp-1,nid-1,mig-5,lin-44,vab-1,unc-40,hmr-1,lin-17,efn-2,rig-6,unc-5,plx-2
ADEL,-0.35832995,-0.6377594,-0.5863807,-0.07184876,-0.29328912,0.46807185,0.0,-0.8491572,-0.7352788,-0.7552934,-0.8607938,-0.5457942,-0.07494744,-0.50751746,-0.39166856,0.093115166,0.16953789,-0.26408654,1.8633895,1.2375729,-0.15184641,0.46873313,0.423085,0.46505576,-0.108627275,-0.29439822,-0.7649598,1.042206,1.2815378,-0.6999541,0.8352648,-0.32483354,0.17539972,-0.01139026
ADER,-0.35832995,-0.6377594,-0.5863807,-0.07184876,-0.29328912,0.46807185,0.0,-0.8491572,-0.7352788,-0.7552934,-0.8607938,-0.5457942,-0.07494744,-0.50751746,-0.39166856,0.093115166,0.16953789,-0.26408654,1.8633895,1.2375729,-0.15184641,0.46873313,0.423085,0.46505576,-0.108627275,-0.29439822,-0.7649598,1.042206,1.2815378,-0.6999541,0.8352648,-0.32483354,0.17539972,-0.01139026
ADFL,-0.35832995,-0.46442366,-0.5863807,-0.3876786,-0.45785543,1.9280622,0.0,1.1176038,0.060877968,-0.4085061,-0.8607938,0.6877479,-0.36898717,2.42675,-0.21850958,-0.77428037,-0.4216868,-0.26408654,-0.28394753,-0.90778196,-0.15184641,-0.012119671,-0.2819938,0.36997998,-0.012969062,-0.29439822,-0.7287211,-0.4362907,-0.78207624,-0.6999541,-0.56930727,-0.070854865,-0.58119756,-0.820083
ADFR,-0.35832995,-0.46442366,-0.5863807,-0.3876786,-0.45785543,1.9280622,0.0,1.1176038,0.060877968,-0.4085061,-0.8607938,0.6877479,-0.36898717,2.42675,-0.21850958,-0.77428037,-0.4216868,-0.26408654,-0.28394753,-0.90778196,-0.15184641,-0.012119671,-0.2819938,0.36997998,-0.012969062,-0.29439822,-0.7287211,-0.4362907,-0.78207624,-0.6999541,-0.56930727,-0.070854865,-0.58119756,-0.820083
ADLL,1.0645522,-0.5365814,-0.5863807,-0.23162147,-0.341691,-0.84496486,0.0,0.3945299,-0.8209727,-0.74390167,-0.46657425,0.15623643,-0.36898717,-0.65128446,-0.32428536,-0.06940338,0.0006966998,-0.14338782,-0.5167055,-0.15059787,-0.15184641,-0.25585544,-0.63376516,-0.5770489,-0.7861127,-0.098860666,-0.8566227,-0.5260666,-0.8004889,-0.36185843,-0.6535029,-0.68383116,-0.6263047,-0.53738034
ADLR,1.0645522,-0.5365814,-0.5863807,-0.23162147,-0.341691,-0.84496486,0.0,0.3945299,-0.8209727,-0.74390167,-0.46657425,0.15623643,-0.36898717,-0.65128446,-0.32428536,-0.06940338,0.0006966998,-0.14338782,-0.5167055,-0.15059787,-0.15184641,-0.25585544,-0.63376516,-0.5770489,-0.7861127,-0.098860666,-0.8566227,-0.5260666,-0.8004889,-0.36185843,-0.6535029,-0.68383116,-0.6263047,-0.53738034
AFDL,-0.35832995,-0.5558534,-0.5863807,-0.38595977,-0.31679857,-0.2626956,0.0,-0.5135591,-0.7352788,-0.8382908,-0.09488152,0.33824435,-0.36898717,-0.11472557,-0.6371357,-0.36735404,0.6381584,-0.13380857,-0.7550059,-0.6013027,-0.15184641,-0.53681916,-0.37898877,-0.50833863,-0.22615024,0.022186385,-0.80948186,0.016797071,-0.09530867,-0.6999541,-0.6164449,-0.87547654,-0.38985735,-0.72105944
AFDR,-0.35832995,-0.5558534,-0.5863807,-0.38595977,-0.31679857,-0.2626956,0.0,-0.5135591,-0.7352788,-0.8382908,-0.09488152,0.33824435,-0.36898717,-0.11472557,-0.6371357,-0.36735404,0.6381584,-0.13380857,-0.7550059,-0.6013027,-0.15184641,-0.53681916,-0.37898877,-0.50833863,-0.22615024,0.022186385,-0.80948186,0.016797071,-0.09530867,-0.6999541,-0.6164449,-0.87547654,-0.38985735,-0.72105944
AIAL,-0.35832995,0.92937416,-0.5863807,0.988738,-0.45785543,1.67716,0.0,-0.8491572,2.3239958,-0.019383552,-0.8607938,5.819283,-0.36898717,1.1422086,-0.658955,3.8689632,-0.6505479,0.10069179,3.1775277,-0.90778196,-0.15184641,-1.0270258,-0.10093651,-0.17089523,0.3849693,1.4784756,-0.079321705,-0.73516965,0.68332183,-0.6999541,1.8706353,-0.96725035,-0.703889,-0.47504073
AIAR,-0.35832995,0.92937416,-0.5863807,0.988738,-0.45785543,1.67716,0.0,-0.8491572,2.3239958,-0.019383552,-0.8607938,5.819283,-0.36898717,1.1422086,-0.658955,3.8689632,-0.6505479,0.10069179,3.1775277,-0.90778196,-0.15184641,-1.0270258,-0.10093651,-0.17089523,0.3849693,1.4784756,-0.079321705,-0.73516965,0.68332183,-0.6999541,1.8706353,-0.96725035,-0.703889,-0.47504073
