neuron,packer_subtype,n_cells_total,n_cells_used,time_threshold_min,used_fallback,has_expression
ADAL,,0,0,,,False
ADAR,,0,0,,,False
ADEL,ADE,90,24,625.0,False,True
ADER,ADE,90,24,625.0,False,True
ADFL,ADF,170,43,633.75,False,True
ADFR,ADF,170,43,633.75,False,True
ADLL,ADL,477,136,640.0,False,True
ADLR,ADL,477,136,640.0,False,True
AFDL,AFD,326,84,630.0,False,True
AFDR,AFD,326,84,630.0,False,True
AIAL,AIA,56,15,640.0,False,True
AIAR,AIA,56,15,640.0,False,True
AIBL,AIB,125,34,635.0,False,True
AIBR,AIB,125,34,635.0,False,True
AIML,AIM,94,24,520.0,False,True
AIMR,AIM,94,24,520.0,False,True
AINL,AIN,64,16,532.5,False,True
AINR,AIN,64,16,532.5,False,True
AIYL,AIY,149,50,700.0,False,True
AIYR,AIY,149,50,700.0,False,True
AIZL,AIZ,39,10,515.0,False,True
AIZR,AIZ,39,10,515.0,False,True
ALA,ALA,122,36,620.0,False,True
ALML,,0,0,,,False
ALMR,,0,0,,,False
ALNL,ALN,28,7,505.0,False,True
ALNR,ALN,28,7,505.0,False,True
AQR,,0,0,,,False
ASEL,ASE,282,76,635.0,False,True
ASER,ASE,282,76,635.0,False,True
ASGL,ASG,173,44,630.0,False,True
ASGR,ASG,173,44,630.0,False,True
ASHL,ASH,345,90,630.0,False,True
ASHR,ASH,345,90,630.0,False,True
ASIL,ASI,212,70,620.0,False,True
ASIR,ASI,212,70,620.0,False,True
ASJL,ASJ,320,86,620.0,False,True
ASJR,ASJ,320,86,620.0,False,True
ASKL,ASK,233,64,620.0,False,True
ASKR,ASK,233,64,620.0,False,True
AUAL,AUA,154,40,530.0,False,True
AUAR,AUA,154,40,530.0,False,True
AVAL,AVA,248,69,450.0,False,True
AVAR,AVA,248,69,450.0,False,True
AVBL,AVB,187,48,670.0,False,True
AVBR,AVB,187,48,670.0,False,True
AVDL,AVD,99,27,550.0,False,True
AVDR,AVD,99,27,550.0,False,True
AVEL,AVE,177,53,450.0,False,True
AVER,AVE,177,53,450.0,False,True
AVFL,,0,0,,,False
AVFR,,0,0,,,False
AVHL,AVH,94,31,550.0,False,True
AVHR,AVH,94,31,550.0,False,True
AVJL,AVJ,53,14,455.0,False,True
AVJR,AVJ,53,14,455.0,False,True
AVKL,AVK,336,85,640.0,False,True
AVKR,AVK,336,85,640.0,False,True
