pre,post,type,n_synapses,stage
ADAL,AIBR,chemical,1,1
ADAL,AVAL,chemical,1,1
ADAL,AVAR,chemical,1,1
ADAL,AVBL,chemical,3,1
ADAL,AVDR,chemical,1,1
ADAL,AVJR,chemical,3,1
ADAL,RICR,chemical,1,1
ADAL,RIML,chemical,1,1
ADAR,AIBL,chemical,1,1
ADAR,AVAL,chemical,1,1
ADAR,AVBL,chemical,1,1
ADAR,AVBR,chemical,1,1
ADAR,AVDL,chemical,1,1
ADAR,RICL,chemical,1,1
ADAR,RIMR,chemical,1,1
ADEL,ADAL,chemical,1,1
ADEL,AVAR,chemical,2,1
ADEL,AVDR,chemical,1,1
ADEL,FLPR,chemical,1,1
ADER,PVCR,chemical,1,1
ADER,RIGL,chemical,1,1
ADER,RIGR,chemical,1,1
ADFL,AIYL,chemical,1,1
ADFL,AIZL,chemical,3,1
ADFL,ASER,chemical,1,1
ADFL,AUAL,chemical,2,1
ADFL,AVHR,chemical,1,1
ADFL,RIAL,chemical,2,1
ADFR,AIAR,chemical,1,1
ADFR,AIZR,chemical,7,1
ADFR,ASER,chemical,1,1
ADFR,AUAR,chemical,2,1
ADFR,RIAR,chemical,2,1
ADFR,URXR,chemical,1,1
ADLL,AIAL,chemical,1,1
ADLL,AIBL,chemical,2,1
ADLL,ASKL,chemical,5,1
ADLL,AWCL,chemical,2,1
ADLL,PVQL,chemical,1,1
ADLR,ADAR,chemical,1,1
ADLR,AIAR,chemical,3,1
ADLR,AIBR,chemical,3,1
ADLR,ASER,chemical,1,1
ADLR,ASKR,chemical,3,1
ADLR,AWCR,chemical,1,1
ADLR,CEPshVR,chemical,1,1
AFDL,ADFL,chemical,1,1
AFDL,AIYL,chemical,3,1
AFDR,AIYR,chemical,3,1
AIAL,AIBL,chemical,3,1
AIAL,ASER,chemical,1,1
AIAL,ASKL,chemical,2,1
AIAL,AWBL,chemical,1,1
AIAL,AWCR,chemical,1,1
AIAL,RIFL,chemical,1,1
AIAR,AIBR,chemical,2,1
AIAR,ASHR,chemical,1,1
AIAR,ASKR,chemical,2,1
AIAR,RIFR,chemical,1,1
AIBL,AVBL,chemical,4,1
AIBL,AVEL,chemical,1,1
AIBL,AVER,chemical,1,1
AIBL,RIBR,chemical,3,1
AIBL,RIMR,chemical,7,1
AIBL,SMDDR,chemical,2,1
AIBL,SMDVR,chemical,1,1
AIBR,AVBR,chemical,1,1
AIBR,AVEL,chemical,1,1
AIBR,AVER,chemical,1,1
AIBR,RIBL,chemical,2,1
AIBR,RIML,chemical,5,1
AIBR,SAADR,chemical,1,1
AIBR,SIADL,chemical,1,1
AIBR,SMDDL,chemical,2,1
AIBR,SMDVL,chemical,1,1
AIML,AIAL,chemical,2,1
AIML,ASGL,chemical,2,1
AIML,ASJL,chemical,2,1
AIML,CEPshVL,chemical,1,1
AIMR,AIAR,chemical,4,1
AIMR,ASGR,chemical,2,1
AIMR,ASJR,chemical,1,1
AIMR,ASKR,chemical,1,1
AIMR,AWCR,chemical,1,1
AINL,AFDR,chemical,1,1
AINL,AUAR,chemical,1,1
AINL,BAGL,chemical,2,1
AINL,CEPshDR,chemical,1,1
AINL,CEPshVL,chemical,1,1
AINL,CEPshVR,chemical,1,1
AINL,RIBR,chemical,1,1
AINR,AFDL,chemical,4,1
AINR,AIAR,chemical,1,1
AINR,AIBL,chemical,1,1
AINR,ASER,chemical,1,1
AINR,ASGR,chemical,1,1
AINR,AUAL,chemical,2,1
AINR,BAGR,chemical,1,1
AINR,CEPVL,chemical,1,1
AINR,CEPshVL,chemical,1,1
AINR,RIBL,chemical,1,1
AIYL,ADFL,chemical,2,1
AIYL,AIZL,chemical,5,1
AIYL,BAGR,chemical,1,1
AIYL,RIAL,chemical,2,1
AIYL,RIBL,chemical,2,1
AIYL,SIBDL,chemical,1,1
AIYR,ADFR,chemical,1,1
AIYR,AIZR,chemical,3,1
AIYR,AUAR,chemical,1,1
AIYR,BAGL,chemical,1,1
AIYR,RIAR,chemical,1,1
AIYR,RIBR,chemical,3,1
AIZL,AIAL,chemical,1,1
AIZL,AIBR,chemical,4,1
AIZL,ASER,chemical,1,1
AIZL,AVER,chemical,1,1
AIZL,RIAL,chemical,2,1
AIZL,RIAR,chemical,1,1
AIZL,RIBL,chemical,1,1
AIZL,RIML,chemical,4,1
AIZL,SMBDL,chemical,2,1
AIZL,SMBVL,chemical,1,1
AIZR,ADFR,chemical,2,1
AIZR,AIAR,chemical,1,1
AIZR,AIBL,chemical,4,1
AIZR,AVEL,chemical,2,1
AIZR,AVER,chemical,1,1
AIZR,RIAR,chemical,2,1
AIZR,RIMR,chemical,3,1
AIZR,SMBDR,chemical,3,1
AIZR,SMBVR,chemical,4,1
ALA,AVEL,chemical,1,1
ALA,AVER,chemical,1,1
ALA,IL1L,chemical,1,1
ALML,BDUL,chemical,1,1
ALML,PVR,chemical,1,1
ALMR,BDUR,chemical,1,1
ALMR,CEPDR,chemical,1,1
ALMR,PVR,chemical,1,1
ASEL,AFDR,chemical,1,1
ASEL,AIBL,chemical,4,1
ASEL,AIBR,chemical,3,1
ASEL,AIYL,chemical,5,1
ASEL,AIYR,chemical,4,1
ASEL,AWCL,chemical,1,1
ASEL,AWCR,chemical,1,1
ASER,AIBL,chemical,1,1
ASER,AIBR,chemical,6,1
ASER,AIYL,chemical,2,1
ASER,AIYR,chemical,8,1
ASER,AIZR,chemical,1,1
ASER,ASIR,chemical,1,1
ASER,AWCR,chemical,1,1
ASGL,AIAL,chemical,3,1
ASGL,AIML,chemical,1,1
ASGR,AIAR,chemical,4,1
ASGR,AIMR,chemical,2,1
ASGR,ASJR,chemical,1,1
ASHL,ADAL,chemical,2,1
ASHL,AIAL,chemical,2,1
ASHL,AIBL,chemical,1,1
ASHL,AVBL,chemical,1,1
ASHL,AVDL,chemical,1,1
ASHL,SMBDL,chemical,1,1
ASHL,SMBVL,chemical,1,1
ASHR,AIAR,chemical,2,1
ASHR,AIBR,chemical,2,1
ASHR,AVBR,chemical,2,1
ASHR,AVDL,chemical,1,1
ASHR,AVHL,chemical,1,1
ASIL,AINR,chemical,1,1
ASIL,AWCL,chemical,1,1
ASIL,AWCR,chemical,1,1
ASIL,BAGR,chemical,1,1
ASIR,AIAR,chemical,1,1
ASIR,AIBR,chemical,2,1
ASIR,ASER,chemical,1,1
ASIR,AWCR,chemical,2,1
ASIR,CEPshVR,chemical,1,1
ASJL,CEPshDL,chemical,1,1
ASJL,PVQL,chemical,3,1
ASJR,AIAR,chemical,1,1
