pre,post,type,n_synapses,stage
ADAL,AIAL,chemical,1,6
ADAL,AIAL,chemical,2,7
ADAL,AIBL,chemical,1,6
ADAL,AIBL,chemical,2,7
ADAL,AIBR,chemical,1,1
ADAL,AIBR,chemical,1,2
ADAL,AIBR,chemical,1,4
ADAL,AIBR,chemical,1,7
ADAL,AIZL,chemical,1,4
ADAL,ASHL,chemical,1,5
ADAL,AVAL,chemical,1,1
ADAL,AVAL,chemical,1,3
ADAL,AVAL,chemical,1,4
ADAL,AVAL,chemical,1,5
ADAL,AVAL,chemical,1,7
ADAL,AVAL,chemical,2,8
ADAL,AVAL,chemical,3,6
ADAL,AVAR,chemical,1,1
ADAL,AVAR,chemical,1,6
ADAL,AVAR,chemical,1,8
ADAL,AVAR,chemical,2,2
ADAL,AVAR,chemical,2,3
ADAL,AVBL,chemical,1,2
ADAL,AVBL,chemical,3,1
ADAL,AVBL,chemical,3,3
ADAL,AVBL,chemical,3,4
ADAL,AVBL,chemical,7,7
ADAL,AVBL,chemical,8,5
ADAL,AVBL,chemical,9,6
ADAL,AVBL,chemical,16,8
ADAL,AVBR,chemical,1,3
ADAL,AVBR,chemical,2,2
ADAL,AVBR,chemical,2,4
ADAL,AVBR,chemical,2,6
ADAL,AVBR,chemical,3,5
ADAL,AVBR,chemical,6,8
ADAL,AVBR,chemical,7,7
ADAL,AVDR,chemical,1,1
ADAL,AVDR,chemical,1,2
ADAL,AVDR,chemical,1,8
ADAL,AVDR,chemical,2,4
ADAL,AVEL,chemical,1,5
ADAL,AVER,chemical,3,7
ADAL,AVHR,chemical,1,3
ADAL,AVHR,chemical,1,6
ADAL,AVJL,chemical,1,8
ADAL,AVJR,chemical,1,2
ADAL,AVJR,chemical,2,3
ADAL,AVJR,chemical,2,4
ADAL,AVJR,chemical,2,7
ADAL,AVJR,chemical,3,1
ADAL,AVJR,chemical,3,6
ADAL,AVJR,chemical,4,5
ADAL,AVJR,chemical,7,8
ADAL,DVA,chemical,2,7
ADAL,IL2DL,chemical,1,5
ADAL,OLQVL,chemical,1,5
ADAL,OLQVL,chemical,1,8
ADAL,PVPL,chemical,1,2
ADAL,PVPL,chemical,1,6
ADAL,RIAL,chemical,1,5
ADAL,RICL,chemical,1,6
ADAL,RICR,chemical,1,1
ADAL,RICR,chemical,1,2
ADAL,RICR,chemical,1,3
ADAL,RICR,chemical,2,7
ADAL,RID,chemical,1,2
ADAL,RIML,chemical,1,1
ADAL,RIML,chemical,2,2
ADAL,RIML,chemical,2,3
ADAL,RIML,chemical,3,4
ADAL,RIML,chemical,4,6
ADAL,RIML,chemical,5,5
ADAL,RIML,chemical,6,8
ADAL,RIML,chemical,7,7
ADAL,RIPL,chemical,1,4
ADAL,RIPL,chemical,1,6
ADAL,RIPL,chemical,4,5
ADAL,RIPL,chemical,5,7
ADAL,RIPL,chemical,7,8
ADAL,RIPR,chemical,2,8
ADAL,RMFL,chemical,2,8
ADAL,SAADL,chemical,1,8
ADAL,SAAVL,chemical,1,4
ADAL,SDQR,chemical,1,6
ADAL,SIBVL,chemical,1,5
ADAL,SMDDL,chemical,1,2
ADAL,SMDVR,chemical,1,8
ADAL,URXL,chemical,1,7
ADAR,ADER,chemical,1,7
ADAR,AIAR,chemical,1,5
ADAR,AIBL,chemical,1,1
ADAR,AIBL,chemical,1,5
ADAR,AIBL,chemical,2,7
ADAR,AIBR,chemical,1,5
ADAR,AIBR,chemical,1,7
ADAR,ASHR,chemical,1,5
ADAR,ASHR,chemical,1,6
ADAR,ASHR,chemical,2,2
ADAR,AVAL,chemical,1,1
ADAR,AVAL,chemical,1,2
ADAR,AVAL,chemical,1,3
ADAR,AVAL,chemical,1,5
ADAR,AVAL,chemical,1,7
ADAR,AVAL,chemical,1,8
ADAR,AVAL,chemical,3,6
ADAR,AVAR,chemical,1,2
ADAR,AVAR,chemical,1,3
ADAR,AVAR,chemical,1,7
ADAR,AVAR,chemical,2,6
ADAR,AVAR,chemical,2,8
ADAR,AVBL,chemical,1,1
ADAR,AVBL,chemical,1,4
ADAR,AVBL,chemical,2,2
ADAR,AVBL,chemical,2,3
ADAR,AVBL,chemical,2,5
ADAR,AVBL,chemical,2,7
ADAR,AVBL,chemical,4,6
ADAR,AVBL,chemical,5,8
ADAR,AVBR,chemical,1,1
ADAR,AVBR,chemical,3,2
ADAR,AVBR,chemical,3,3
ADAR,AVBR,chemical,4,4
ADAR,AVBR,chemical,8,5
ADAR,AVBR,chemical,10,6
ADAR,AVBR,chemical,12,7
ADAR,AVBR,chemical,19,8
ADAR,AVDL,chemical,1,1
ADAR,AVDL,chemical,1,2
ADAR,AVDL,chemical,1,7
ADAR,AVDL,chemical,2,6
ADAR,AVEL,chemical,1,4
ADAR,AVER,chemical,1,5
ADAR,AVER,chemical,1,7
ADAR,AVER,chemical,1,8
ADAR,AVJL,chemical,1,2
ADAR,AVJL,chemical,2,3
ADAR,AVJL,chemical,3,4
ADAR,AVJL,chemical,3,5
ADAR,AVJL,chemical,5,6
ADAR,AVJL,chemical,8,7
ADAR,AVJL,chemical,10,8
ADAR,DVA,chemical,1,4
ADAR,DVA,chemical,1,7
ADAR,OLQVR,chemical,1,4
ADAR,OLQVR,chemical,1,5
ADAR,OLQVR,chemical,1,6
ADAR,RICL,chemical,1,1
ADAR,RICL,chemical,1,2
ADAR,RICL,chemical,1,3
ADAR,RICL,chemical,1,4
ADAR,RICL,chemical,1,5
ADAR,RICL,chemical,1,7
ADAR,RICR,chemical,1,4
ADAR,RICR,chemical,1,8
ADAR,RICR,chemical,3,5
ADAR,RIFR,chemical,1,7
ADAR,RIMR,chemical,1,1
ADAR,RIMR,chemical,2,2
ADAR,RIMR,chemical,2,4
ADAR,RIMR,chemical,3,3
ADAR,RIMR,chemical,4,6
ADAR,RIMR,chemical,5,5
ADAR,RIMR,chemical,5,8
ADAR,RIMR,chemical,6,7
ADAR,RIPR,chemical,1,3
ADAR,RIPR,chemical,3,4
ADAR,RIPR,chemical,3,7
ADAR,RIPR,chemical,4,6
ADAR,RIPR,chemical,4,8
ADAR,RMFR,chemical,1,7
ADAR,RMFR,chemical,2,8
ADAR,SAADR,chemical,1,7
ADAR,SMDVL,chemical,1,7
ADAR,SMDVL,chemical,1,8
ADAR,URADR,chemical,1,4
ADAR,URAVR,chemical,1,5
ADAR,URXR,chemical,1,7
ADEL,ADAL,chemical,1,1
ADEL,ADAL,chemical,1,7
ADEL,ADAL,chemical,1,8
ADEL,ADAL,chemical,2,2
ADEL,ADAL,chemical,2,6
ADEL,ADEL,chemical,1,7
ADEL,ADER,chemical,1,2
ADEL,ADER,chemical,1,3
ADEL,ADER,chemical,1,5
ADEL,ADER,chemical,1,6
ADEL,ADER,chemical,4,8
ADEL,ADER,chemical,6,7
ADEL,AINL,chemical,1,6
ADEL,ALML,chemical,1,7
ADEL,ALNL,chemical,1,8
ADEL,ALNL,chemical,2,7
ADEL,AQR,chemical,2,7
ADEL,ASJL,chemical,1,7
ADEL,AVAL,chemical,1,2
ADEL,AVAL,chemical,1,8
ADEL,AVAR,chemical,1,3
ADEL,AVAR,chemical,2,1
ADEL,AVAR,chemical,2,2
ADEL,AVAR,chemical,2,4
ADEL,AVAR,chemical,2,5
ADEL,AVAR,chemical,2,6
ADEL,AVAR,chemical,2,7
ADEL,AVAR,chemical,3,8
ADEL,AVDL,chemical,2,6
ADEL,AVDR,chemical,1,1
ADEL,AVDR,chemical,1,4
ADEL,AVDR,chemical,1,6
ADEL,AVKL,chemical,1,4
ADEL,AVKL,chemical,2,7
ADEL,AVKR,chemical,1,7
ADEL,AVKR,chemical,1,8
ADEL,BDUL,chemical,1,7
ADEL,CEPDL,chemical,2,7
ADEL,CEPDL,chemical,2,8
ADEL,CEPVL,chemical,1,5
ADEL,CEPVL,chemical,1,6
ADEL,CEPVL,chemical,1,8
ADEL,CEPshDL,chemical,2,6
ADEL,CEPshDL,chemical,2,7
ADEL,CEPshDR,chemical,1,8
ADEL,CEPshVL,chemical,2,5
ADEL,FLPL,chemical,1,3
ADEL,FLPR,chemical,1,1
ADEL,IL1L,chemical,1,6
ADEL,IL1L,chemical,1,8
ADEL,IL1L,chemical,5,7
ADEL,IL2L,chemical,1,7
ADEL,IL2L,chemical,1,8
ADEL,IL2L,chemical,2,6
ADEL,OLLL,chemical,3,6
ADEL,OLLL,chemical,4,7
ADEL,PVCL,chemical,1,5
ADEL,PVT,chemical,1,8
ADEL,RIFL,chemical,1,4
ADEL,RIFL,chemical,1,8
ADEL,RIGL,chemical,1,6
ADEL,RIGL,chemical,2,4
ADEL,RIGL,chemical,3,5
ADEL,RIGL,chemical,6,7
ADEL,RIGL,chemical,6,8
ADEL,RIGR,chemical,1,3
ADEL,RIGR,chemical,2,5
ADEL,RIGR,chemical,4,6
ADEL,RIGR,chemical,9,7
ADEL,RIGR,chemical,12,8
ADEL,RIH,chemical,1,7
ADEL,RIS,chemical,1,4
ADEL,RIVL,chemical,1,6
ADEL,RIVL,chemical,1,8
ADEL,RIVR,chemical,1,7
ADEL,RIVR,chemical,2,8
ADEL,RMDDR,chemical,2,8
ADEL,RMDL,chemical,3,8
ADEL,RMDL,chemical,4,7
ADEL,RMDR,chemical,1,6
ADEL,RMDR,chemical,1,7
ADEL,RMER,chemical,1,7
ADEL,RMFR,chemical,1,7
ADEL,RMFR,chemical,4,8
ADEL,RMHR,chemical,1,6
ADEL,RMHR,chemical,2,8
ADEL,SAADL,chemical,1,4
ADEL,SAADR,chemical,1,3
ADEL,SAADR,chemical,1,6
ADEL,SAADR,chemical,1,7
ADEL,SAADR,chemical,2,8
ADEL,SAAVL,chemical,1,7
ADEL,SDQL,chemical,1,6
ADEL,SDQL,chemical,1,8
ADEL,SDQL,chemical,2,5
ADEL,SIBVR,chemical,2,7
ADEL,SMBDR,chemical,1,5
ADEL,SMBDR,chemical,2,7
ADEL,SMBDR,chemical,2,8
ADEL,SMDDR,chemical,1,8
ADEL,SMDVL,chemical,1,8
ADEL,SMDVR,chemical,1,4
ADEL,URBL,chemical,1,5
ADER,ADAR,chemical,1,2
ADER,ADAR,chemical,1,3
ADER,ADAR,chemical,1,5
ADER,ADAR,chemical,1,6
ADER,ADAR,chemical,1,7
ADER,ADAR,chemical,1,8
ADER,ADEL,chemical,1,3
ADER,ADEL,chemical,1,5
ADER,ADEL,chemical,2,7
ADER,ADEL,chemical,3,6
ADER,ADEL,chemical,3,8
ADER,AINR,chemical,2,8
ADER,ALMR,chemical,1,6
ADER,ALMR,chemical,1,8
ADER,ALNR,chemical,1,8
ADER,AQR,chemical,1,7
ADER,AQR,chemical,2,4
ADER,AVAL,chemical,1,2
ADER,AVAL,chemical,1,3
ADER,AVAL,chemical,1,5
ADER,AVAL,chemical,1,6
ADER,AVAL,chemical,2,4
ADER,AVAL,chemical,4,8
ADER,AVAL,chemical,7,7
ADER,AVAR,chemical,1,3
ADER,AVAR,chemical,1,5
ADER,AVAR,chemical,1,8
ADER,AVAR,chemical,2,6
ADER,AVAR,chemical,3,7
ADER,AVBR,chemical,1,7
ADER,AVDR,chemical,1,5
ADER,AVDR,chemical,1,6
ADER,AVDR,chemical,2,8
ADER,AVER,chemical,1,5
ADER,AVER,chemical,1,7
ADER,AVER,chemical,1,8
ADER,AVKL,chemical,1,5
ADER,AVKL,chemical,2,7
ADER,AVKR,chemical,3,8
ADER,BWM-DR04,chemical,1,6
ADER,BWM-DR04,chemical,2,7
ADER,BWM-VR04,chemical,1,6
ADER,CEPDR,chemical,1,6
ADER,CEPDR,chemical,1,7
ADER,CEPDR,chemical,1,8
ADER,CEPVR,chemical,1,5
ADER,CEPVR,chemical,1,8
ADER,CEPVR,chemical,2,7
ADER,CEPshDR,chemical,1,5
ADER,CEPshDR,chemical,2,7
ADER,CEPshVL,chemical,1,5
ADER,CEPshVR,chemical,1,5
ADER,CEPshVR,chemical,5,8
ADER,DVA,chemical,1,7
ADER,DVC,chemical,2,7
ADER,FLPL,chemical,1,2
ADER,FLPL,chemical,1,7
ADER,FLPL,chemical,1,8
ADER,FLPR,chemical,2,5
ADER,GLRR,chemical,2,6
ADER,IL1R,chemical,1,5
ADER,IL1R,chemical,1,6
ADER,IL1R,chemical,3,7
ADER,IL1R,chemical,4,8
ADER,IL2R,chemical,1,6
ADER,IL2R,chemical,2,7
ADER,IL2R,chemical,3,8
ADER,OLLR,chemical,2,7
ADER,OLLR,chemical,2,8
ADER,PVCR,chemical,1,1
ADER,PVNR,chemical,1,7
ADER,PVPL,chemical,1,7
ADER,PVR,chemical,1,5
ADER,PVR,chemical,1,6
ADER,PVR,chemical,2,8
ADER,PVT,chemical,1,8
ADER,RIGL,chemical,1,1
ADER,RIGL,chemical,2,5
ADER,RIGL,chemical,3,6
ADER,RIGL,chemical,10,7
ADER,RIGL,chemical,10,8
ADER,RIGR,chemical,1,1
ADER,RIGR,chemical,1,5
ADER,RIGR,chemical,2,4
ADER,RIGR,chemical,2,6
ADER,RIGR,chemical,6,8
ADER,RIGR,chemical,9,7
ADER,RIH,chemical,2,7
ADER,RIVL,chemical,3,7
ADER,RIVR,chemical,2,7
ADER,RIVR,chemical,3,8
ADER,RMDL,chemical,1,7
ADER,RMDL,chemical,1,8
ADER,RMDR,chemical,2,7
ADER,RMDR,chemical,2,8
ADER,RMFL,chemical,1,8
ADER,RMFL,chemical,4,7
ADER,RMFR,chemical,2,7
ADER,RMGR,chemical,1,7
ADER,RMHL,chemical,2,7
ADER,SAADL,chemical,1,7
ADER,SAADL,chemical,1,8
ADER,SAAVL,chemical,1,8
ADER,SDQR,chemical,1,5
ADER,SDQR,chemical,1,6
ADER,SIADL,chemical,1,8
ADER,SIBDL,chemical,1,6
ADER,SMBVR,chemical,1,7
ADER,SMBVR,chemical,1,8
ADER,URBR,chemical,1,7
ADER,URBR,chemical,1,8
ADFL,ADAL,chemical,1,7
ADFL,ADAL,chemical,2,4
ADFL,ADFR,chemical,1,4
ADFL,AFDL,chemical,1,4
ADFL,AIAL,chemical,2,8
ADFL,AIBL,chemical,1,5
ADFL,AIBL,chemical,1,7
ADFL,AIBL,chemical,1,8
ADFL,AIBR,chemical,1,8
ADFL,AIYL,chemical,1,1
ADFL,AIYL,chemical,1,2
ADFL,AIYL,chemical,1,3
ADFL,AIYL,chemical,1,6
ADFL,AIYL,chemical,1,8
ADFL,AIZL,chemical,3,1
ADFL,AIZL,chemical,4,3
ADFL,AIZL,chemical,5,2
ADFL,AIZL,chemical,6,4
ADFL,AIZL,chemical,6,5
ADFL,AIZL,chemical,6,6
ADFL,AIZL,chemical,6,7
ADFL,AIZL,chemical,18,8
ADFL,AIZR,chemical,1,3
ADFL,AIZR,chemical,1,4
ADFL,AIZR,chemical,1,5
ADFL,AIZR,chemical,2,7
ADFL,ASER,chemical,1,1
ADFL,ASER,chemical,1,5
ADFL,ASER,chemical,2,7
ADFL,ASHL,chemical,1,3
ADFL,ASHL,chemical,1,4
ADFL,ASHL,chemical,1,5
ADFL,ASHL,chemical,1,8
ADFL,AUAL,chemical,1,2
ADFL,AUAL,chemical,2,1
ADFL,AUAL,chemical,3,3
ADFL,AUAL,chemical,3,4
ADFL,AUAL,chemical,3,5
ADFL,AUAL,chemical,3,6
ADFL,AUAL,chemical,4,7
ADFL,AUAR,chemical,1,5
ADFL,AVHR,chemical,1,1
ADFL,AVHR,chemical,1,7
ADFL,AVHR,chemical,1,8
ADFL,AVHR,chemical,2,2
ADFL,AWBL,chemical,1,3
ADFL,AWBL,chemical,1,8
ADFL,AWBL,chemical,2,7
ADFL,BAGR,chemical,1,8
ADFL,OLQVL,chemical,1,6
ADFL,OLQVL,chemical,1,7
ADFL,OLQVL,chemical,1,8
ADFL,PVQL,chemical,1,7
ADFL,RIAL,chemical,2,1
ADFL,RIAL,chemical,4,2
ADFL,RIAL,chemical,6,3
ADFL,RIAL,chemical,8,4
ADFL,RIAL,chemical,8,5
ADFL,RIAL,chemical,11,6
ADFL,RIAL,chemical,15,7
ADFL,RIAL,chemical,17,8
ADFL,RICR,chemical,1,7
ADFL,RIGL,chemical,1,5
